"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 08 04:08:07 UTC 2026","Sat Aug 08 04:08:09 UTC 2026","1819","tests.regression","test_cart","","","","test_api_remove_item_from_cart",""
"passed","Sat Aug 08 04:07:35 UTC 2026","Sat Aug 08 04:07:36 UTC 2026","817","tests.regression","test_contact","","","","test_contact_form_empty_fields_blocked[chromium]",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_checkout_bank_transfer[chromium]",""
"skipped","Sat Aug 08 04:06:42 UTC 2026","Sat Aug 08 04:06:42 UTC 2026","0","tests.regression","test_account","","","","test_invoice_detail_shows_correct_items_and_total[chromium]",""
"passed","Sat Aug 08 04:07:49 UTC 2026","Sat Aug 08 04:07:52 UTC 2026","2592","tests.regression","test_products","","","","test_related_products_visible_on_detail_page[chromium]",""
"skipped","Sat Aug 08 04:07:11 UTC 2026","Sat Aug 08 04:07:11 UTC 2026","0","tests.regression","test_auth","","","","test_change_password_authenticated[chromium]",""
"passed","Sat Aug 08 04:08:10 UTC 2026","Sat Aug 08 04:08:10 UTC 2026","303","tests.regression","test_products","","","","test_categories_tree_returns_nested_structure",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_checkout_buy_now_pay_later[chromium]",""
"passed","Sat Aug 08 04:07:56 UTC 2026","Sat Aug 08 04:07:57 UTC 2026","605","tests.regression","test_admin","","","","test_admin_creates_category",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_address_blank_fields_block_progression[chromium]",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_credit_card_past_expiry_rejected[chromium]",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_checkout_gift_card[chromium]",""
"passed","Sat Aug 08 04:06:49 UTC 2026","Sat Aug 08 04:06:55 UTC 2026","5735","tests.regression","test_admin","","","","test_admin_edits_product[chromium]",""
"skipped","Sat Aug 08 04:06:42 UTC 2026","Sat Aug 08 04:06:42 UTC 2026","0","tests.regression","test_account","","","","test_remove_product_from_favourites[chromium]",""
"passed","Sat Aug 08 04:07:02 UTC 2026","Sat Aug 08 04:07:06 UTC 2026","3075","tests.regression","test_admin","","","","test_admin_views_user_list[chromium]",""
"skipped","Sat Aug 08 04:07:11 UTC 2026","Sat Aug 08 04:07:11 UTC 2026","0","tests.regression","test_cart","","","","test_add_multiple_products_to_cart[chromium]",""
"passed","Sat Aug 08 04:06:56 UTC 2026","Sat Aug 08 04:07:02 UTC 2026","6391","tests.regression","test_admin","","","","test_admin_deletes_product[chromium]",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_credit_card_invalid_format_rejected[chromium]",""
"skipped","Sat Aug 08 04:08:03 UTC 2026","Sat Aug 08 04:08:03 UTC 2026","300","tests.regression","test_auth","","","","test_login_disabled_account_returns_403",""
"passed","Sat Aug 08 04:08:00 UTC 2026","Sat Aug 08 04:08:00 UTC 2026","308","tests.regression","test_admin","","","","test_get_top10_products_report_with_admin_token",""
"passed","Sat Aug 08 04:07:07 UTC 2026","Sat Aug 08 04:07:09 UTC 2026","1687","tests.regression","test_auth","","","","test_login_unknown_email_shows_error[chromium]",""
"passed","Sat Aug 08 04:07:06 UTC 2026","Sat Aug 08 04:07:07 UTC 2026","1349","tests.regression","test_auth","","","","test_login_wrong_password_shows_error[chromium]",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_address_postcode_lookup_populates_fields[chromium]",""
"passed","Sat Aug 08 04:07:24 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","5290","tests.regression","test_cart","","","","test_cart_persists_across_navigation[chromium]",""
"skipped","Sat Aug 08 04:07:09 UTC 2026","Sat Aug 08 04:07:09 UTC 2026","0","tests.regression","test_auth","","","","test_register_new_user_can_login[chromium]",""
"passed","Sat Aug 08 04:08:04 UTC 2026","Sat Aug 08 04:08:05 UTC 2026","996","tests.regression","test_auth","","","","test_forgot_password_accepts_valid_email",""
"passed","Sat Aug 08 04:08:01 UTC 2026","Sat Aug 08 04:08:01 UTC 2026","300","tests.regression","test_admin","","","","test_non_admin_token_rejected_on_admin_endpoints",""
"passed","Sat Aug 08 04:07:57 UTC 2026","Sat Aug 08 04:07:58 UTC 2026","600","tests.regression","test_admin","","","","test_admin_creates_brand",""
"passed","Sat Aug 08 04:08:04 UTC 2026","Sat Aug 08 04:08:04 UTC 2026","312","tests.regression","test_auth","","","","test_refresh_token_returns_new_access_token",""
"passed","Sat Aug 08 04:07:56 UTC 2026","Sat Aug 08 04:07:56 UTC 2026","295","tests.regression","test_account","","","","test_get_favorites_api_returns_list",""
"passed","Sat Aug 08 04:07:34 UTC 2026","Sat Aug 08 04:07:35 UTC 2026","1362","tests.regression","test_contact","","","","test_contact_form_submits_successfully[chromium]",""
"passed","Sat Aug 08 04:07:10 UTC 2026","Sat Aug 08 04:07:11 UTC 2026","599","tests.regression","test_auth","","","","test_register_weak_password_shows_error[chromium]",""
"passed","Sat Aug 08 04:08:09 UTC 2026","Sat Aug 08 04:08:10 UTC 2026","599","tests.regression","test_products","","","","test_products_api_pagination",""
"passed","Sat Aug 08 04:08:09 UTC 2026","Sat Aug 08 04:08:09 UTC 2026","311","tests.regression","test_contact","","","","test_post_messages_creates_record",""
"passed","Sat Aug 08 04:07:47 UTC 2026","Sat Aug 08 04:07:49 UTC 2026","2294","tests.regression","test_products","","","","test_product_detail_shows_name_price_description[chromium]",""
"passed","Sat Aug 08 04:07:09 UTC 2026","Sat Aug 08 04:07:10 UTC 2026","938","tests.regression","test_auth","","","","test_register_duplicate_email_shows_error[chromium]",""
"passed","Sat Aug 08 04:07:17 UTC 2026","Sat Aug 08 04:07:24 UTC 2026","6886","tests.regression","test_cart","","","","test_remove_single_item_from_cart[chromium]",""
"passed","Sat Aug 08 04:06:44 UTC 2026","Sat Aug 08 04:06:49 UTC 2026","5278","tests.regression","test_admin","","","","test_admin_creates_product[chromium]",""
"skipped","Sat Aug 08 04:07:55 UTC 2026","Sat Aug 08 04:07:55 UTC 2026","704","tests.regression","test_account","","","","test_download_pdf_endpoint_returns_file",""
"passed","Sat Aug 08 04:07:40 UTC 2026","Sat Aug 08 04:07:42 UTC 2026","1816","tests.regression","test_products","","","","test_sort_products_price_ascending[chromium]",""
"skipped","Sat Aug 08 04:06:42 UTC 2026","Sat Aug 08 04:06:42 UTC 2026","0","tests.regression","test_account","","","","test_authenticated_user_sees_order_history[chromium]",""
"passed","Sat Aug 08 04:08:10 UTC 2026","Sat Aug 08 04:08:10 UTC 2026","296","tests.regression","test_products","","","","test_products_search_api_filters_by_query",""
"passed","Sat Aug 08 04:07:58 UTC 2026","Sat Aug 08 04:08:00 UTC 2026","1252","tests.regression","test_admin","","","","test_admin_updates_invoice_status",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_checkout_credit_card[chromium]",""
"passed","Sat Aug 08 04:07:52 UTC 2026","Sat Aug 08 04:07:54 UTC 2026","2541","tests.regression","test_products","","","","test_product_specs_displayed[chromium]",""
"passed","Sat Aug 08 04:08:05 UTC 2026","Sat Aug 08 04:08:07 UTC 2026","1659","tests.regression","test_cart","","","","test_api_create_cart_and_add_item",""
"passed","Sat Aug 08 04:07:39 UTC 2026","Sat Aug 08 04:07:40 UTC 2026","1424","tests.regression","test_products","","","","test_filter_products_by_brand[chromium]",""
"passed","Sat Aug 08 04:07:36 UTC 2026","Sat Aug 08 04:07:39 UTC 2026","3007","tests.regression","test_products","","","","test_filter_products_by_category[chromium]",""
"passed","Sat Aug 08 04:07:42 UTC 2026","Sat Aug 08 04:07:44 UTC 2026","2028","tests.regression","test_products","","","","test_sort_products_price_descending[chromium]",""
"passed","Sat Aug 08 04:07:44 UTC 2026","Sat Aug 08 04:07:47 UTC 2026","2324","tests.regression","test_products","","","","test_search_unknown_keyword_shows_empty_state[chromium]",""
"passed","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:34 UTC 2026","4610","tests.regression","test_checkout","","","","test_unauthenticated_user_redirected_to_login_at_checkout[chromium]",""
"skipped","Sat Aug 08 04:06:42 UTC 2026","Sat Aug 08 04:06:42 UTC 2026","0","tests.regression","test_account","","","","test_add_product_to_favourites[chromium]",""
"skipped","Sat Aug 08 04:07:29 UTC 2026","Sat Aug 08 04:07:29 UTC 2026","0","tests.regression","test_checkout","","","","test_checkout_cash_on_delivery[chromium]",""
